CNTD(INFO_DM_CASE_ID)-value,CNTD(INFO_DM_CASE_ID)-alias,COUNTY-value,COUNTY-alias,COUNTY-[SMY PRCS JDGMNTS EXECUTIONS  (local copy)].[none:Calculation_1686598103769194499:nk]-value,COUNTY-[SMY PRCS JDGMNTS EXECUTIONS  (local copy)].[none:Calculation_1686598103769194499:nk]-alias,CNTD(INFO_DM_CASE_ID (copy))-alias,COUNTY (copy)-alias,MONTH(calc-color)-alias,population,per capita,,pop,,https://www.census.gov/data/tables/time-series/demo/popest/2020s-counties-total.html,,,,
0,0,0,0,MIDDLESEX,MID,116,MIDDLESEX,Sep-22,1617105,7.173312803,,,,,,,,
0,0,0,0,HAMPSHIRE,HPS,2,HAMPSHIRE,Sep-22,162588,1.230103083,,,,,,,,
0,0,0,0,HAMPDEN,HPD,45,HAMPDEN,Sep-22,461041,9.760520214,,,,,,,,
0,0,0,0,FRANKLIN,FRA,1,FRANKLIN,Sep-22,70894,1.410556606,,,,,,,,
0,0,0,0,ESSEX,ESS,65,ESSEX,Sep-22,806765,8.056869101,,,,,,,,
0,0,0,0,BRISTOL,BRI,45,BRISTOL,Sep-22,580068,7.757711165,,,,,,,,
0,0,0,0,BERKSHIRE,BER,18,BERKSHIRE,Sep-22,127859,14.07800781,,,,,,,,
0,0,0,0,BARNSTABLE,BAR,3,BARNSTABLE,Sep-22,232457,1.290561265,,,,,,,,
0,0,0,0,%null%,TBD,4,%null%,Sep-22,#N/A,#N/A,,,,,,,,
0,0,0,0,WORCESTER,WOR,54,WORCESTER,Aug-22,862927,6.257771515,,,,,,,,
0,0,0,0,SUFFOLK,SUF,75,SUFFOLK,Aug-22,766381,9.786255139,,,,,,,,
0,0,0,0,PLYMOUTH,PLY,23,PLYMOUTH,Aug-22,533069,4.314638443,,,,,,,,
0,0,0,0,NORFOLK,NOR,51,NORFOLK,Aug-22,725531,7.029334377,,,,,,,,
0,0,0,0,NANTUCKET,NAN,1,NANTUCKET,Aug-22,14421,6.934331877,,,,,,,,
0,0,0,0,MIDDLESEX,MID,108,MIDDLESEX,Aug-22,1617105,6.678601575,,,,,,,,
0,0,0,0,HAMPSHIRE,HPS,8,HAMPSHIRE,Aug-22,162588,4.920412331,,,,,,,,
0,0,0,0,HAMPDEN,HPD,42,HAMPDEN,Aug-22,461041,9.109818866,,,,,,,,
0,0,0,0,FRANKLIN,FRA,2,FRANKLIN,Aug-22,70894,2.821113211,,,,,,,,
0,0,0,0,ESSEX,ESS,59,ESSEX,Aug-22,806765,7.313158107,,,,,,,,
0,0,0,0,BRISTOL,BRI,57,BRISTOL,Aug-22,580068,9.826434142,,,,,,,,
0,0,0,0,BERKSHIRE,BER,7,BERKSHIRE,Aug-22,127859,5.474780813,,,,,,,,
0,0,0,0,BARNSTABLE,BAR,10,BARNSTABLE,Aug-22,232457,4.301870884,,,,,,,,
0,0,0,0,WORCESTER,WOR,47,WORCESTER,Jul-22,862927,5.446578911,,,,,,,,
